date_,close_msft,high_msft,low_msft,open_msft,volume_msft,symbol
2026-03-04,404.32427978515625,410.14166638677375,399.44483360720756,400.4027502952161,35808000,MSFT
2026-03-05,409.79241943359375,410.72040218284053,403.525993165685,403.54596943015656,39001300,MSFT
2026-03-06,408.0761413574219,412.1572983375802,407.6271321747383,408.31564337314285,31123900,MSFT
2026-03-09,408.5251770019531,409.3234358422322,402.62794618065146,404.044890641513,30131900,MSFT
2026-03-10,404.8830871582031,409.31349393117443,402.05918625996463,409.1438479339772,31706400,MSFT
2026-03-11,404.0049743652344,408.1260534422115,400.7220762180728,404.6934855668013,25512100,MSFT
2026-03-12,400.9914855957031,405.2422886286942,400.84181586601125,403.7555185610488,27263900,MSFT
2026-03-13,394.69512939453125,403.9251383935716,393.3979511212616,400.13336309353434,26848000,MSFT
2026-03-16,399.08563232421875,399.7641553863696,393.9367805641587,397.209690545171,27733700,MSFT
2026-03-17,398.5467834472656,403.5259891234105,396.8903674487218,399.4049101655112,26228300,MSFT
2026-03-18,390.9432678222656,397.13983817793417,390.1549666521916,396.271723303423,25908500,MSFT
2026-03-19,388.1792297363281,391.6417315076428,386.2234742615233,389.2569126674818,25138800,MSFT
2026-03-20,381.0447082519531,386.16362631018524,379.29849030352204,385.95408868282834,50853200,MSFT
2026-03-23,382.1722717285156,386.3731646745857,380.85511716508233,383.07032058481127,29680100,MSFT
2026-03-24,371.9344177246094,381.6434000325674,371.04635704379217,381.53362193174286,42733600,MSFT
2026-03-25,370.2381286621094,376.2451074667104,368.831172255135,376.10542586510894,31181200,MSFT
2026-03-26,365.1790771484375,373.9101668945663,364.4007640805619,370.01860155518807,36836600,MSFT
2026-03-27,355.9989318847656,361.6666793192034,355.73951450811694,361.11784971721505,37883400,MSFT
2026-03-30,358.1842041015625,364.5703662773937,355.51000344849933,361.1178525849577,44797000,MSFT
2026-03-31,369.3699951171875,372.09407550142714,362.28533367877645,363.7621155862403,45244400,MSFT
2026-04-01,368.57171630859375,373.1817267376728,367.4042619540212,372.682807332766,29417200,MSFT
2026-04-02,372.6528625488281,372.83249667260446,363.3629859357669,366.41637016886637,24099100,MSFT
2026-04-06,372.0741271972656,372.92229624611906,368.70142726638517,372.682794233078,16146600,MSFT
2026-04-07,371.48541259765625,371.64507045865594,365.7677853538718,369.5396147715723,21443300,MSFT
2026-04-08,373.52099609375,384.167949815935,370.6073237610428,384.148004001906,33064800,MSFT
2026-04-09,372.26373291015625,372.6927962909368,366.2567237727329,371.6949574789129,30435300,MSFT
2026-04-10,370.0684814453125,374.8281921461914,369.23030048358606,372.17393720824543,28111100,MSFT
2026-04-13,383.539306640625,383.70895264062807,370.2181521550117,372.8025510733858,35745800,MSFT
2026-04-14,392.2604064941406,393.83700889302276,385.684652281273,387.0816509997633,37504500,MSFT
2026-04-15,410.3312683105469,413.47445440771634,395.8725939925935,397.1398382929036,45063400,MSFT
2026-04-16,419.35174560546875,419.9105328997013,411.2492993874727,418.95258572248235,41642400,MSFT
2026-04-17,421.87628173828125,430.64726300981,419.78081413338697,423.9018933176335,48568200,MSFT
2026-04-20,417.1664733886719,422.4150847565369,415.40027922801784,420.2398034863272,27582200,MSFT
2026-04-21,423.2433166503906,426.25677891783357,416.2983670043314,419.33177508554746,32048500,MSFT
2026-04-22,431.984375,432.7626880248645,422.7543663498755,425.2689090952171,29378200,MSFT
2026-04-23,414.8514709472656,422.7443793162959,410.5208543154444,418.9825380949446,38308000,MSFT
2026-04-24,423.7023010253906,424.0316048781353,414.9013556123021,416.0688403922519,27457400,MSFT
2026-04-27,423.9018859863281,426.1869149113369,416.1686352924954,421.46715688013995,30867300,MSFT
2026-04-28,428.3222961425781,428.99086152362304,420.9881750222059,423.6524179624475,30438100,MSFT
2026-04-29,423.5426330566406,425.8975483734993,419.38166246548025,423.6623688360089,38288300,MSFT
2026-04-30,406.8987121582031,413.5243765293071,397.1498378648014,409.92216255995794,70909400,MSFT
2026-05-01,413.5443115234375,416.2085240460113,409.5529563541748,411.9078412872606,31372400,MSFT
2026-05-04,412.72607421875,419.87060358807366,409.91216153093814,410.6505829404435,28066500,MSFT
2026-05-05,410.4909362792969,415.8792597859335,407.916495085617,414.42242364358015,25700900,MSFT
